Day,Oil Rate SC,Gas Rate SC,Water Rate SC,Well Bottom-hole Pressure
1127.0,6050.446716,2604876.389,0.314857421,56638.47096
1128.0,6070.185849,2434000.852,0.397091009,54522.89713
1129.0,5922.209509,2495778.818,0.430951887,53082.00078
1130.0,5811.45499,2598043.512,0.464251098,54559.08046
1131.0,5687.746178,2632944.917,0.459078362,53398.27839
1132.0,6079.698289,2447286.902,0.488844143,54026.54003
1133.0,5730.304834,2508326.334,0.444255887,54555.52765
1134.0,5577.941397,2589019.484,0.461770328,53365.06112
1135.0,5647.860925,2437184.574,0.465728213,52885.69024
1136.0,5838.01629,2487613.113,0.468573635,53973.58305
1137.0,5960.525867,2551166.63,0.515672769,53920.15284
1138.0,7070.657452,2878342.22,0.751550084,51410.82346
1139.0,7159.151427,2908282.667,0.695597243,50817.02581
1140.0,7001.272483,3052015.138,0.696165336,51266.25285
1141.0,5891.277092,2348139.645,0.52164787,53288.3088
1142.0,5804.632599,2337968.918,0.487963418,54007.66664
1143.0,5923.545005,2525446.602,0.50570647,52267.64096
1144.0,5509.082096,2516608.22,0.559960354,52943.68715
1145.0,7343.377251,3210713.024,0.737191598,52292.74414
1146.0,5481.063798,2337453.64,0.506849227,51252.98523
1147.0,5539.897262,2474202.505,0.495950621,51899.61504
1148.0,4694.670212,2166860.363,0.400247494,52796.54696
1149.0,4659.456459,2198500.763,0.384152966,53946.50573
1150.0,4647.039034,2087303.324,0.394857025,53526.46964
1151.0,4905.549588,2005072.682,0.390374305,54362.60202
1152.0,4936.002439,2161067.898,0.399811595,52440.36683
1153.0,4809.072041,2111909.6,0.381607847,54537.40513
1154.0,5835.925759,2582647.252,0.581836797,52580.29041
1155.0,6164.105007,2592802.771,0.61029986,52033.61967
1156.0,6007.81582,2593858.147,0.557997879,53488.46787
1157.0,5015.330327,2021384.896,0.434529263,53495.84932
1158.0,4839.890496,2121953.215,0.426206219,53446.47021
1159.0,4905.043231,2043497.409,0.416155064,54500.14892
1160.0,4779.256235,2072520.531,0.448044642,53926.84932
1161.0,4820.445206,2155590.435,0.421510014,54215.75031
1162.0,4889.729911,2211805.203,0.433596534,52527.89677
1163.0,4785.685952,2025639.914,0.412176882,54251.45251
1164.0,5124.588657,2143095.042,0.391430482,52629.66223
1165.0,4861.859745,2201891.864,0.44212932,52065.87433
1166.0,4796.282305,2048101.23,0.410523021,52401.92531
1167.0,5713.843629,2468119.543,0.624312242,51656.255
1167.4,4781.931069,2070498.209,0.444335829,51878.64099
1168.0,4947.492292,2014410.102,0.422840401,53872.91647
1169.0,4940.548759,2172786.17,0.454510267,53623.70895
1170.0,4781.609494,2034062.655,0.455760474,53074.85349
1171.0,5040.735729,2124977.344,0.451404154,52740.57303
1172.0,4931.262621,2069236.71,0.455775104,53865.54632
1173.0,5042.244597,2148859.063,0.446028342,53485.37943
1174.0,5953.303328,2654009.763,0.573702949,52592.46829
1175.0,6134.42872,2507462.603,0.573995357,52123.80058
1176.0,5878.077519,2661066.987,0.650380296,50868.7144
1177.0,4746.363932,2020776.22,0.43279365,51603.60879
1178.0,4825.869181,2086758.761,0.429426465,53135.29275
1179.0,4649.46361,2106358.989,0.443138575,53018.02721
1180.0,5053.488583,2088659.878,0.452004425,52321.34107
1181.0,5114.241713,2015960.669,0.430442126,53965.78997
1182.0,4993.07852,2088272.118,0.437373605,52833.31548
1183.0,4719.604627,2180905.482,0.415735181,53118.49317
1184.0,4976.670435,2180807.74,0.442932492,52204.11358
1185.0,4789.32654,2207000.929,0.463568086,52091.52333
1186.0,5118.890333,2116017.234,0.437422353,53512.98785
1187.0,4681.237865,2119438.45,0.418047756,51823.52971
1187.8,5048.392144,2121883.743,0.420260148,51814.31114
1188.0,4927.312898,2058495.62,0.438752826,52293.89015
1189.0,5076.910631,2128527.869,0.469448248,52779.3819
1190.0,5116.110757,2112599.638,0.434863751,53647.10214
1191.0,7044.653637,3189307.099,0.844810088,50956.19222
1191.6,5861.199793,2522009.492,0.613454169,51105.64084
1192.0,4817.235051,2129650.235,0.457366781,53637.60721
1193.0,4920.296742,2001381.222,0.438050841,53889.13933
1194.0,4899.602012,2121256.21,0.480824683,52525.38815
1195.0,5140.685068,2045875.423,0.466359253,53832.56225
