physics_strategy,epochs,batch_size,learning_rate,data_sample,trend_degree,optuna_trial_number,experiment_id,seed,architecture_name,feature_kind,use_known_good,lag_window,horizon,patience,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,show_components
combined_exp_arps,20,8,0.005,0.5,2,150,UNISIM_IV_P15_Seq2Trend_trial_150,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,151,UNISIM_IV_P15_Seq2Trend_trial_151,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,152,UNISIM_IV_P15_Seq2Trend_trial_152,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,153,UNISIM_IV_P15_Seq2Trend_trial_153,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,154,UNISIM_IV_P15_Seq2Trend_trial_154,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,155,UNISIM_IV_P15_Seq2Trend_trial_155,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,156,UNISIM_IV_P15_Seq2Trend_trial_156,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,157,UNISIM_IV_P15_Seq2Trend_trial_157,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,158,UNISIM_IV_P15_Seq2Trend_trial_158,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,159,UNISIM_IV_P15_Seq2Trend_trial_159,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,160,UNISIM_IV_P15_Seq2Trend_trial_160,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,161,UNISIM_IV_P15_Seq2Trend_trial_161,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,162,UNISIM_IV_P15_Seq2Trend_trial_162,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,163,UNISIM_IV_P15_Seq2Trend_trial_163,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,164,UNISIM_IV_P15_Seq2Trend_trial_164,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,165,UNISIM_IV_P15_Seq2Trend_trial_165,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,166,UNISIM_IV_P15_Seq2Trend_trial_166,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,167,UNISIM_IV_P15_Seq2Trend_trial_167,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,168,UNISIM_IV_P15_Seq2Trend_trial_168,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,169,UNISIM_IV_P15_Seq2Trend_trial_169,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,170,UNISIM_IV_P15_Seq2Trend_trial_170,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,171,UNISIM_IV_P15_Seq2Trend_trial_171,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,172,UNISIM_IV_P15_Seq2Trend_trial_172,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,173,UNISIM_IV_P15_Seq2Trend_trial_173,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,174,UNISIM_IV_P15_Seq2Trend_trial_174,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,175,UNISIM_IV_P15_Seq2Trend_trial_175,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,176,UNISIM_IV_P15_Seq2Trend_trial_176,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,177,UNISIM_IV_P15_Seq2Trend_trial_177,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,178,UNISIM_IV_P15_Seq2Trend_trial_178,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,179,UNISIM_IV_P15_Seq2Trend_trial_179,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,180,UNISIM_IV_P15_Seq2Trend_trial_180,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,181,UNISIM_IV_P15_Seq2Trend_trial_181,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,182,UNISIM_IV_P15_Seq2Trend_trial_182,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,183,UNISIM_IV_P15_Seq2Trend_trial_183,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,184,UNISIM_IV_P15_Seq2Trend_trial_184,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,185,UNISIM_IV_P15_Seq2Trend_trial_185,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,186,UNISIM_IV_P15_Seq2Trend_trial_186,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,187,UNISIM_IV_P15_Seq2Trend_trial_187,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,188,UNISIM_IV_P15_Seq2Trend_trial_188,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,189,UNISIM_IV_P15_Seq2Trend_trial_189,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,190,UNISIM_IV_P15_Seq2Trend_trial_190,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,191,UNISIM_IV_P15_Seq2Trend_trial_191,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,192,UNISIM_IV_P15_Seq2Trend_trial_192,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,193,UNISIM_IV_P15_Seq2Trend_trial_193,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,194,UNISIM_IV_P15_Seq2Trend_trial_194,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,195,UNISIM_IV_P15_Seq2Trend_trial_195,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,196,UNISIM_IV_P15_Seq2Trend_trial_196,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,197,UNISIM_IV_P15_Seq2Trend_trial_197,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,198,UNISIM_IV_P15_Seq2Trend_trial_198,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.005,0.5,2,199,UNISIM_IV_P15_Seq2Trend_trial_199,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
