physics_strategy,epochs,batch_size,learning_rate,data_sample,trend_degree,optuna_trial_number,experiment_id,seed,architecture_name,feature_kind,use_known_good,lag_window,horizon,patience,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,show_components
pressure_ensemble,100,16,0.001,0.25,5,0,UNISIM_IV_P12_Seq2Trend_trial_0,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,200,8,0.05,0.25,8,1,UNISIM_IV_P12_Seq2Trend_trial_1,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
pressure_ensemble,100,16,0.05,0.25,4,2,UNISIM_IV_P12_Seq2Trend_trial_2,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
exponential,20,16,0.05,0.5,6,3,UNISIM_IV_P12_Seq2Trend_trial_3,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
exponential,20,16,0.01,0.99,5,4,UNISIM_IV_P12_Seq2Trend_trial_4,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
pressure_ensemble,20,8,0.005,0.5,3,5,UNISIM_IV_P12_Seq2Trend_trial_5,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,100,8,0.001,0.5,7,6,UNISIM_IV_P12_Seq2Trend_trial_6,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
pressure_ensemble,50,8,0.05,0.25,6,7,UNISIM_IV_P12_Seq2Trend_trial_7,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,200,8,0.05,0.01,4,8,UNISIM_IV_P12_Seq2Trend_trial_8,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
arps,100,16,0.01,0.5,7,9,UNISIM_IV_P12_Seq2Trend_trial_9,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
exponential,50,8,0.005,0.99,2,10,UNISIM_IV_P12_Seq2Trend_trial_10,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
exponential,20,16,0.005,0.99,8,11,UNISIM_IV_P12_Seq2Trend_trial_11,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
pressure_ensemble,50,8,0.01,0.25,4,12,UNISIM_IV_P12_Seq2Trend_trial_12,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,20,8,0.01,0.5,5,13,UNISIM_IV_P12_Seq2Trend_trial_13,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,200,8,0.01,0.99,3,14,UNISIM_IV_P12_Seq2Trend_trial_14,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.005,0.99,2,15,UNISIM_IV_P12_Seq2Trend_trial_15,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,200,16,0.005,0.99,3,16,UNISIM_IV_P12_Seq2Trend_trial_16,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
pressure_ensemble,200,16,0.005,0.25,8,17,UNISIM_IV_P12_Seq2Trend_trial_17,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
pressure_ensemble,50,8,0.01,0.25,4,18,UNISIM_IV_P12_Seq2Trend_trial_18,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
pressure_ensemble,20,16,0.01,0.01,4,19,UNISIM_IV_P12_Seq2Trend_trial_19,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
exponential,200,8,0.05,0.01,6,20,UNISIM_IV_P12_Seq2Trend_trial_20,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,50,8,0.05,0.01,5,21,UNISIM_IV_P12_Seq2Trend_trial_21,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,50,16,0.001,0.01,8,22,UNISIM_IV_P12_Seq2Trend_trial_22,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
arps,20,8,0.05,0.99,4,23,UNISIM_IV_P12_Seq2Trend_trial_23,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,16,0.05,0.99,8,24,UNISIM_IV_P12_Seq2Trend_trial_24,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
pressure_ensemble,50,8,0.05,0.99,5,25,UNISIM_IV_P12_Seq2Trend_trial_25,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
pressure_ensemble,20,16,0.001,0.01,8,26,UNISIM_IV_P12_Seq2Trend_trial_26,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
arps,200,16,0.001,0.99,7,27,UNISIM_IV_P12_Seq2Trend_trial_27,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
pressure_ensemble,100,8,0.01,0.01,4,28,UNISIM_IV_P12_Seq2Trend_trial_28,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
exponential,20,8,0.05,0.25,7,29,UNISIM_IV_P12_Seq2Trend_trial_29,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
exponential,200,16,0.001,0.25,7,30,UNISIM_IV_P12_Seq2Trend_trial_30,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
exponential,100,8,0.005,0.5,5,31,UNISIM_IV_P12_Seq2Trend_trial_31,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
arps,50,16,0.001,0.99,6,32,UNISIM_IV_P12_Seq2Trend_trial_32,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,200,16,0.01,0.5,2,33,UNISIM_IV_P12_Seq2Trend_trial_33,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
arps,50,8,0.01,0.01,8,34,UNISIM_IV_P12_Seq2Trend_trial_34,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.01,0.25,6,35,UNISIM_IV_P12_Seq2Trend_trial_35,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
pressure_ensemble,200,8,0.01,0.25,7,36,UNISIM_IV_P12_Seq2Trend_trial_36,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
arps,100,16,0.005,0.01,4,37,UNISIM_IV_P12_Seq2Trend_trial_37,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
exponential,20,16,0.001,0.01,4,38,UNISIM_IV_P12_Seq2Trend_trial_38,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
arps,20,16,0.001,0.25,6,39,UNISIM_IV_P12_Seq2Trend_trial_39,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,100,8,0.001,0.5,4,40,UNISIM_IV_P12_Seq2Trend_trial_40,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,100,16,0.001,0.5,8,41,UNISIM_IV_P12_Seq2Trend_trial_41,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
exponential,100,16,0.01,0.99,5,42,UNISIM_IV_P12_Seq2Trend_trial_42,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
arps,20,8,0.01,0.99,4,43,UNISIM_IV_P12_Seq2Trend_trial_43,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
combined_exp_arps,20,8,0.05,0.25,4,44,UNISIM_IV_P12_Seq2Trend_trial_44,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,16,0.01,0.01,4,45,UNISIM_IV_P12_Seq2Trend_trial_45,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
pressure_ensemble,200,16,0.001,0.5,4,46,UNISIM_IV_P12_Seq2Trend_trial_46,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
pressure_ensemble,200,16,0.01,0.25,8,47,UNISIM_IV_P12_Seq2Trend_trial_47,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
exponential,20,8,0.05,0.99,5,48,UNISIM_IV_P12_Seq2Trend_trial_48,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,100,8,0.005,0.01,2,49,UNISIM_IV_P12_Seq2Trend_trial_49,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,200,8,0.005,0.25,4,50,UNISIM_IV_P12_Seq2Trend_trial_50,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,20,16,0.05,0.25,2,51,UNISIM_IV_P12_Seq2Trend_trial_51,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
exponential,200,8,0.05,0.01,4,52,UNISIM_IV_P12_Seq2Trend_trial_52,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,200,16,0.005,0.01,4,53,UNISIM_IV_P12_Seq2Trend_trial_53,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
