physics_strategy,epochs,batch_size,learning_rate,data_sample,trend_degree,optuna_trial_number,experiment_id,seed,architecture_name,feature_kind,use_known_good,lag_window,horizon,patience,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,show_components
static,50,8,0.01,0.5,2,100,UNISIM_IV_P16_Seq2Trend_trial_100,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,101,UNISIM_IV_P16_Seq2Trend_trial_101,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,102,UNISIM_IV_P16_Seq2Trend_trial_102,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,103,UNISIM_IV_P16_Seq2Trend_trial_103,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,104,UNISIM_IV_P16_Seq2Trend_trial_104,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,105,UNISIM_IV_P16_Seq2Trend_trial_105,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,106,UNISIM_IV_P16_Seq2Trend_trial_106,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,107,UNISIM_IV_P16_Seq2Trend_trial_107,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,3,108,UNISIM_IV_P16_Seq2Trend_trial_108,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,109,UNISIM_IV_P16_Seq2Trend_trial_109,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,110,UNISIM_IV_P16_Seq2Trend_trial_110,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,111,UNISIM_IV_P16_Seq2Trend_trial_111,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,112,UNISIM_IV_P16_Seq2Trend_trial_112,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,113,UNISIM_IV_P16_Seq2Trend_trial_113,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,114,UNISIM_IV_P16_Seq2Trend_trial_114,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,115,UNISIM_IV_P16_Seq2Trend_trial_115,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,116,UNISIM_IV_P16_Seq2Trend_trial_116,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,117,UNISIM_IV_P16_Seq2Trend_trial_117,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,118,UNISIM_IV_P16_Seq2Trend_trial_118,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,119,UNISIM_IV_P16_Seq2Trend_trial_119,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,120,UNISIM_IV_P16_Seq2Trend_trial_120,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,121,UNISIM_IV_P16_Seq2Trend_trial_121,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,122,UNISIM_IV_P16_Seq2Trend_trial_122,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,123,UNISIM_IV_P16_Seq2Trend_trial_123,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,124,UNISIM_IV_P16_Seq2Trend_trial_124,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,125,UNISIM_IV_P16_Seq2Trend_trial_125,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
static,50,8,0.01,0.5,2,126,UNISIM_IV_P16_Seq2Trend_trial_126,42,Seq2Trend,Normal,False,300,300,20,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,False
