rank,feature,mean_|SHAP|,relative_%,direction
1,BORE_GAS_VOL_t0,0.15845797287086802,19.52804504223708,↓
2,BORE_OIL_VOL_MEAN_LAG_t0,0.11376883030081647,14.020644100549514,↑
3,BORE_OIL_VOL_LAG_4_t0,0.09353060229073486,11.52652518058827,↑
4,BORE_OIL_VOL_LAG_5_t0,0.09191046525463914,11.326862718408114,↓
5,BORE_OIL_VOL_LAG_6_t0,0.08759823547734413,10.79543210751599,↓
6,Prod_Start_Time_t0,0.08230825401389869,10.143505325801154,↑
7,ON_STREAM_HRS_t0,0.043604192442823354,5.37369384844866,↓
8,BORE_OIL_VOL_LAG_3_t0,0.03762581360206241,4.636930344746157,↓
9,BORE_OIL_VOL_LAG_2_t0,0.03594731383014328,4.43007537521974,↓
10,BORE_OIL_VOL_LAG_1_t0,0.034259143905248694,4.2220286752966185,↑
11,BORE_OIL_VOL_LAG_7_t0,0.03242714908112829,3.9962572811887136,↓
